metric,label_en,short_vs_control_p_raw,short_vs_control_p_holm,short_vs_control_significance,short_vs_control_display,short_vs_med_p_raw,short_vs_med_p_holm,short_vs_med_significance,short_vs_med_display,control_vs_med_p_raw,control_vs_med_p_holm,control_vs_med_significance,control_vs_med_display
Mental,Mental Demand,5.806736681719802e-05,0.00011613473363439604,***,0.0001161 ***,0.31250419859842055,0.31250419859842055,NS,0.3125 NS,2.6704992534026653e-06,8.011497760207996e-06,***,8.011e-06 ***
Physical,Physical Demand,0.20108408042579737,0.20108408042579737,NS,0.2011 NS,0.00039429186506719904,0.0007885837301343981,***,0.0007886 ***,0.00021847793056159112,0.0006554337916847734,***,0.0006554 ***
Temporal,Temporal Demand,0.04791298262341965,0.04791298262341965,*,0.04791 *,0.014287114462758387,0.028574228925516774,*,0.02857 *,3.533918072232033e-05,0.00010601754216696098,***,0.000106 ***
Performance_rev,Performance (reversed),0.022321371302712598,0.06696411390813779,NS,0.06696 NS,0.20768525668504464,0.4153705133700893,NS,0.4154 NS,0.22197633821833704,0.4153705133700893,NS,0.4154 NS
Effort,Effort,0.0020279850006027322,0.006083955001808196,**,0.006084 **,0.31670386794468297,0.31670386794468297,NS,0.3167 NS,0.0030091680681556482,0.006083955001808196,**,0.006084 **
Frustration,Frustration,0.3556400447643706,0.3556400447643706,NS,0.3556 NS,2.4629836070736658e-05,7.388950821220997e-05,***,7.389e-05 ***,0.00037633362758525044,0.0007526672551705009,***,0.0007527 ***
Overall,Overall Workload,0.17008419309360123,0.17008419309360123,NS,0.1701 NS,0.0033190195750964434,0.006638039150192887,**,0.006638 **,0.0004540202898514083,0.0013620608695542249,**,0.001362 **
Raw_TLX,Raw TLX (mean of 6),0.002181529998779297,0.004114660066198182,**,0.004115 **,0.002057330033099091,0.004114660066198182,**,0.004115 **,2.708490792294868e-06,8.125472376884603e-06,***,8.125e-06 ***
