metric,label_en,n,test,statistic,p_raw,residual_shapiro_p,effect,effect_name,p_holm_across_metrics,significance_holm
Mental,Mental Demand,26,one-way repeated-measures ANOVA,24.433064637926748,3.9633445094034184e-08,0.37745109050332115,0.4942656259911683,partial eta squared,3.170675607522735e-07,***
Physical,Physical Demand,26,one-way repeated-measures ANOVA,11.9238663975786,5.8320460534230235e-05,0.5478991929198003,0.32293114348286517,partial eta squared,0.0002916023026711512,***
Temporal,Temporal Demand,26,one-way repeated-measures ANOVA,11.460065492971115,7.999523265083929e-05,0.4063699405387818,0.31431829147921914,partial eta squared,0.00031998093060335716,***
Performance_rev,Performance (reversed),26,one-way repeated-measures ANOVA,3.1368065221714074,0.05207509978639303,0.27298544307080563,0.11148409893992936,partial eta squared,0.05207509978639303,NS
Effort,Effort,26,one-way repeated-measures ANOVA,9.098331485511704,0.00042674850286843067,0.4752341155511137,0.2668262958666339,partial eta squared,0.001280245508605292,**
Frustration,Frustration,26,one-way repeated-measures ANOVA,17.0570961759251,2.251739398118566e-06,0.11518083025546756,0.40556999238785196,partial eta squared,1.3510436388711396e-05,***
Overall,Overall Workload,26,one-way repeated-measures ANOVA,8.055519968713549,0.0009276846914122532,0.5241802652093474,0.24369666477302288,partial eta squared,0.0018553693828245064,**
Raw_TLX,Raw TLX (mean of 6),26,one-way repeated-measures ANOVA,22.823226746235015,9.068351085395441e-08,0.15617264059487188,0.47724146401375606,partial eta squared,6.347845759776809e-07,***
