metric,metric_label,n,test,statistic,p_raw,residual_shapiro_p,effect,effect_name,p_holm_across_metrics,significance_holm
Reading,Reading ability (mean of 3),26,one-way repeated-measures ANOVA,2.9041455757032093,0.064088778255483,0.12802755211633104,0.10407577497129733,partial eta squared,0.32044389127741496,NS
Output,Writing output ability (mean of 3),26,one-way repeated-measures ANOVA,3.480871886120992,0.03842980764898509,0.39416672406628256,0.12221788363920333,partial eta squared,0.23057884589391053,NS
Reading_Q1,Reading question 1,26,one-way repeated-measures ANOVA,4.124696075026051,0.021976835893158467,0.13496085893728613,0.14162194394752536,partial eta squared,0.15383785125210928,NS
Reading_Q2,Reading question 2,26,one-way repeated-measures ANOVA,1.2689945037180728,0.29001066930605685,0.9483295499932217,0.048307692307692295,partial eta squared,0.8628265806729752,NS
Reading_Q3,Reading question 3,26,one-way repeated-measures ANOVA,0.7226428079834817,0.49046784564669965,0.3609534363734882,0.028093645484949806,partial eta squared,0.8628265806729752,NS
Output_Q1,Output question 1,26,Friedman test,5.114754098360655,0.07750777313158494,0.007675015145024737,0.0983606557377049,Kendall's W,0.32044389127741496,NS
Output_Q2,Output question 2,26,one-way repeated-measures ANOVA,4.711959924859111,0.013341900613454548,0.0559683465858807,0.15858798735511065,partial eta squared,0.10673520490763638,NS
Output_Q3,Output question 3,26,Friedman test,2.492307692307713,0.2876088602243251,0.00011080429976776332,0.04792899408284064,Kendall's W,0.8628265806729752,NS
