metric,metric_label,short_vs_control_p_raw,short_vs_control_p_holm,short_vs_control_significance,short_vs_control_display,short_vs_med_p_raw,short_vs_med_p_holm,short_vs_med_significance,short_vs_med_display,control_vs_med_p_raw,control_vs_med_p_holm,control_vs_med_significance,control_vs_med_display
Reading,Reading ability (mean of 3),0.03553187058616312,0.10659561175848936,NS,0.1066 NS,0.058179138740136305,0.11635827748027261,NS,0.1164 NS,0.617263796053394,0.617263796053394,NS,0.6173 NS
Output,Writing output ability (mean of 3),0.023920267273533025,0.07176080182059907,NS,0.07176 NS,0.07948912918282866,0.15897825836565732,NS,0.159 NS,0.6768184315455585,0.6768184315455585,NS,0.6768 NS
Reading_Q1,Reading question 1,0.0037843282024789416,0.011352984607436825,*,0.01135 *,0.13431898225480488,0.26863796450960975,NS,0.2686 NS,0.3220773837046581,0.3220773837046581,NS,0.3221 NS
Reading_Q2,Reading question 2,0.2173691967902507,0.4347383935805014,NS,0.4347 NS,0.09563293905283905,0.28689881715851717,NS,0.2869 NS,0.9206501462666383,0.9206501462666383,NS,0.9207 NS
Reading_Q3,Reading question 3,0.28383837817496343,0.8515151345248904,NS,0.8515 NS,0.3625468635931781,0.8515151345248904,NS,0.8515 NS,0.9230415621655215,0.9230415621655215,NS,0.923 NS
Output_Q1,Output question 1,0.06720727407108909,0.20162182221326727,NS,0.2016 NS,0.25206671835702077,0.5041334367140415,NS,0.5041 NS,0.8048147172132512,0.8048147172132512,NS,0.8048 NS
Output_Q2,Output question 2,0.002755077103560919,0.008265231310682757,**,0.008265 **,0.06993019331177795,0.1398603866235559,NS,0.1399 NS,0.5392545710869423,0.5392545710869423,NS,0.5393 NS
Output_Q3,Output question 3,0.09963994626166782,0.29891983878500344,NS,0.2989 NS,0.3270560297489956,0.6541120594979912,NS,0.6541 NS,0.9570796152778533,0.9570796152778533,NS,0.9571 NS
