participant_id,video_condition,Total_task_sec,Total_answer_sec,Latency_sec,Writing_sec,Total_chars,general_Latency,general_Writing,general_Chars,content_Latency,content_Writing,content_Chars,inquiry_Latency,inquiry_Writing,inquiry_Chars,emotion_Latency,emotion_Writing,emotion_Chars,summary_Latency,summary_Writing,summary_Chars
A015,med,501.825,500.119,57.988,442.131,301,1.742,91.599,51,15.81,68.061,39,11.49,22.98,26,14.636,180.322,147,14.31,79.169,38
A015,control,338.403,336.978,46.79,290.18800000000005,274,7.912,47.067,13,10.324,40.989,47,1.995,57.828,56,22.278,117.377,126,4.281,26.927,32
A016,short,279.599,278.205,80.12100000000001,198.084,106,24.279,97.878,35,9.263,24.081,14,17.001,24.967,15,6.587,26.4,24,22.991,24.758,18
A016,med,418.896,416.431,149.692,266.73900000000003,216,37.936,80.408,83,12.665,32.397,25,43.316,23.982,36,29.108,124.748,66,26.667,5.204,6
A016,control,317.827,316.329,71.03299999999999,245.296,127,6.637,24.887,5,10.184,30.274,26,11.893,38.165,29,15.907,75.01,56,26.412,76.96,11
A018,short,222.752,221.291,61.147999999999996,160.143,203,6.427,17.328,30,11.812,64.687,90,6.955,6.51,9,25.355,28.464,32,10.599,43.154,42
A018,med,347.041,343.033,54.994,288.039,316,15.524,74.592,107,7.371,33.728,12,7.413,29.622,27,13.101,107.466,144,11.585,42.631,26
A018,control,326.176,323.149,36.104,287.04499999999996,318,6.97,17.224,11,6.254,34.666,33,7.597,34.703,30,9.496,171.119,219,5.787,29.333,25
A019,short,221.551,220.231,36.289,183.942,166,4.598,48.458,58,8.834,27.064,25,3.929,3.239,3,9.131,84.656,66,9.797,20.525,14
A019,med,375.731,372.793,50.16,322.633,146,17.586,22.148,5,5.492,64.822,30,9.741,33.164,22,12.007,177.167,71,5.334,25.332,18
A019,control,336.632,334.813,34.928000000000004,299.885,159,6.479,93.532,54,5.816,78.468,35,5.979,24.918,10,10.14,56.496,38,6.514,46.471,22
A020,short,294.147,293.133,168.788,124.345,166,57.797,6.828,18,42.21,18.787,36,11.632,34.602,23,48.949,36.692,47,8.2,27.436,42
A020,med,316.153,314.818,169.041,145.777,147,30.638,23.661,23,65.152,7.824,15,8.441,14.271,26,23.386,35.656,26,41.424,64.365,57
A020,control,229.426,228.159,92.771,135.388,147,8.1,9.118,20,25.704,18.394,23,18.156,4.483,10,33.212,46.999,53,7.599,56.394,41
A021,short,599.33,598.163,62.586,535.577,289,10.149,77.965,28,4.585,105.949,77,19.62,50.296,32,9.574,159.407,112,18.658,141.96,40
A021,med,595.811,592.259,43.82,548.4390000000001,423,12.413,89.501,90,5.856,134.459,123,8.988,83.078,42,10.273,175.043,135,6.29,66.358,33
A021,control,513.699,509.98,30.991,478.989,294,10.745,151.021,71,4.704,130.362,56,3.349,25.501,31,5.769,162.146,132,6.424,9.959,4
A022,short,728.71,726.523,84.12799999999999,642.395,483,13.033,132.569,112,16.459,100.23,87,11.494,169.177,83,22.95,153.941,150,20.192,86.478,51
A022,med,512.771,511.208,32.128,479.08,400,5.435,80.747,52,9.344,130.655,120,5.776,42.599,32,4.914,147.098,136,6.659,77.981,60
A022,control,857.786,854.634,117.121,737.5129999999999,564,24.146,168.606,194,38.818,106.207,104,23.904,142.082,90,24.494,132.954,98,5.759,187.664,78
A023,short,355.053,352.578,44.943999999999996,307.634,227,5.832,4.726,2,14.467,19.831,15,6.957,48.009,39,11.068,145.106,125,6.62,89.962,46
A023,med,503.546,502.058,90.02499999999999,412.033,353,32.621,89.257,86,20.738,4.138,3,21.795,80.855,54,7.642,206.656,201,7.229,31.127,9
A023,control,515.426,512.051,131.194,380.857,263,17.973,64.023,40,23.467,87.383,94,33.486,55.945,36,11.596,94.018,56,44.672,79.488,37
A024,short,393.245,392.313,97.491,294.822,320,63.252,41.263,90,2.553,73.364,62,2.532,26.2,25,16.634,78.516,63,12.52,75.479,80
A024,med,359.298,357.547,30.528999999999996,327.018,415,4.327,24.34,6,4.826,56.439,54,5.075,74.008,99,12.398,145.336,203,3.903,26.895,53
A024,control,279.965,277.764,43.777,233.98700000000002,254,6.598,55.868,41,6.35,34.183,62,11.772,13.162,28,10.06,88.806,90,8.997,41.968,33
A025,short,248.565,242.197,38.629,203.568,107,11.821,10.865,5,4.74,28.51,18,6.683,81.433,43,10.332,34.034,25,5.053,48.726,16
A025,med,217.45,216.598,26.747,189.851,163,7.972,43.729,50,8.33,31.801,30,3.242,46.992,24,2.395,58.82,48,4.808,8.509,11
A025,control,272.882,271.696,32.686,239.01000000000002,140,9.801,58.766,51,4.275,32.439,31,2.633,82.934,22,10.533,51.667,26,5.444,13.204,10
A027,short,357.13,351.945,64.988,286.957,223,15.769,65.817,47,9.49,34.846,23,16.641,64.967,29,20.494,78.552,74,2.594,42.775,50
A027,med,300.736,298.476,59.959,238.517,173,18.697,63.507,43,9.364,34.119,17,16.214,19.76,27,12.716,84.475,51,2.968,36.656,35
A027,control,400.142,397.083,50.757,346.326,209,22.175,99.291,74,4.192,28.0,12,5.222,16.204,23,15.502,149.824,65,3.666,53.007,35
A028,short,280.468,278.889,23.13,255.75900000000001,361,3.638,77.774,121,2.155,18.055,35,5.436,6.225,16,8.172,81.524,134,3.729,72.181,55
A028,med,861.42,542.763,29.777,512.986,685,11.744,195.725,162,6.937,121.51,232,2.062,89.144,134,5.314,77.975,126,3.72,28.632,31
A028,control,501.24,499.331,28.163000000000004,471.16799999999995,702,4.484,138.623,175,4.351,126.315,199,11.39,31.032,75,5.112,130.999,201,2.826,44.199,52
A029,short,207.617,203.354,54.155,149.199,72,7.68,7.08,2,10.971,56.686,31,5.968,28.329,12,19.352,16.408,9,10.184,40.696,18
A029,med,247.794,244.692,73.327,171.365,108,12.412,44.594,24,14.61,18.749,16,11.564,35.527,20,27.056,45.62,38,7.685,26.875,10
A029,control,431.579,429.807,172.685,257.12199999999996,143,15.786,153.135,83,27.865,26.337,13,77.275,6.05699999999999,5,37.872,47.29,27,13.887,24.303,15
