participant_id,session_id,video_index,video_id,video_title,watched_sec,duration_sec,first_time,last_time,log_count,ended_count,view_rate,completed,early_skip,video_category_id,video_category
P002,16f374cf-c22c-42d8-8dfc-29fd0f278b4a,8,wW1JdjrqYt8,女優と風邪薬,0.0,10.0,2026-06-29 18:51:13.175000+00:00,2026-06-29 18:51:13.175000+00:00,1,0.0,0.0,False,True,22,People & Blogs
P002,16f374cf-c22c-42d8-8dfc-29fd0f278b4a,9,o1p43JPgQD8,fpsの実況,2.03067541711373,10.121,2026-06-29 18:51:17.098000+00:00,2026-06-29 18:51:17.098000+00:00,1,0.0,0.20063980012980237,False,False,22,People & Blogs
P002,16f374cf-c22c-42d8-8dfc-29fd0f278b4a,10,oHErjHCqaw8,車の後ろのスペースにペットを入れる,2.9807131470889,10.121,2026-06-29 18:51:21.741000+00:00,2026-06-29 18:51:21.741000+00:00,1,0.0,0.2945077706836182,False,False,22,People & Blogs
usei,984a3039-623b-45e9-845d-5a86ba609de0,0,mZA0uye3-Js,美しい髪に必要な要素　美人女優が紹介,5.13944299427795,11.0,2026-06-29 18:32:42.347000+00:00,2026-06-29 18:33:09.165000+00:00,36,0.0,0.4672220903889045,False,False,22,People & Blogs
usei,984a3039-623b-45e9-845d-5a86ba609de0,1,1AwRfSm--Qs,韓国アイドルグループの歌とダンス,4.12092318692017,10.121,2026-06-29 18:32:51.864000+00:00,2026-06-29 18:32:52.978000+00:00,2,0.0,0.40716561475349966,False,False,22,People & Blogs
usei,984a3039-623b-45e9-845d-5a86ba609de0,2,sHPYxOyu0bU,Z世代ってだいたいこんな感じ,3.51776897901917,10.121,2026-06-29 18:32:57.332000+00:00,2026-06-29 18:32:58.424000+00:00,2,0.0,0.34757128534919174,False,False,22,People & Blogs
usei,984a3039-623b-45e9-845d-5a86ba609de0,3,-uazQNV7rtY,歴代運動動画TOP5,5.13944299427795,10.121,2026-06-29 18:33:03.491000+00:00,2026-06-29 18:33:04.586000+00:00,2,0.0,0.507799920391063,False,False,22,People & Blogs
usei,984a3039-623b-45e9-845d-5a86ba609de0,4,1YjuusUtZuk,粘土で有名キャラを作る,2.741174,10.121,2026-06-29 18:33:08.540000+00:00,2026-06-29 18:33:10.090000+00:00,2,0.0,0.27084023317853967,False,False,22,People & Blogs
山田優,adb7bf6e-4bfe-4a0b-91a9-da4030ebdc3c,0,J0FFSOj9bcU,ペットショップでめっちゃはしゃいでたから家に迎えたらww,6.67757668315164,11.0,2026-06-29 19:12:26.623000+00:00,2026-06-29 19:13:34.185000+00:00,70,0.0,0.6070524257410582,False,False,15,Pets & Animals
山田優,adb7bf6e-4bfe-4a0b-91a9-da4030ebdc3c,1,vWDCUhVBkdI,ドライバーの方法,0.0,10.121,2026-06-29 19:12:45.027000+00:00,2026-06-29 19:12:45.027000+00:00,1,0.0,0.0,False,True,22,People & Blogs
山田優,adb7bf6e-4bfe-4a0b-91a9-da4030ebdc3c,2,vQMzrSX93PE,好きバレすぎる高3男子,4.39801656792262,10.1135,2026-06-29 19:12:50.984000+00:00,2026-06-29 19:12:50.984000+00:00,1,0.0,0.4348659285037445,False,False,22,People & Blogs
山田優,adb7bf6e-4bfe-4a0b-91a9-da4030ebdc3c,3,5cs8Kk000zM,お父さんのピアノの実力　娘が怒ってお父さん引いてみてよと言って実際に引いた結果,3.0847782778562,10.1135,2026-06-29 19:12:55.680000+00:00,2026-06-29 19:12:55.680000+00:00,1,0.0,0.3050158973506897,False,False,22,People & Blogs
山田優,adb7bf6e-4bfe-4a0b-91a9-da4030ebdc3c,4,nxvyBK9ik5A,これ一本でシミ予防、シワ改善できる？,4.2018737685524,10.1135,2026-06-29 19:13:01.981000+00:00,2026-06-29 19:13:01.981000+00:00,1,0.0,0.4154717722403125,False,False,22,People & Blogs
山田優,adb7bf6e-4bfe-4a0b-91a9-da4030ebdc3c,5,Aj7bTgHFj8w,可愛いラテアート,0.0,10.1135,2026-06-29 19:13:11.388000+00:00,2026-06-29 19:13:11.388000+00:00,1,0.0,0.0,False,True,22,People & Blogs
山田優,adb7bf6e-4bfe-4a0b-91a9-da4030ebdc3c,6,y5CQbUGNx-g,世界でバズったiPhoneの開封動画,4.54300755923793,10.121,2026-06-29 19:13:17.704000+00:00,2026-06-29 19:13:17.704000+00:00,1,0.0,0.4488694357512034,False,False,22,People & Blogs
山田優,adb7bf6e-4bfe-4a0b-91a9-da4030ebdc3c,7,JvMUHoq79i4,場所もメンバーも即興なのにこの完成度のネタは天才だ,2.98043264059262,10.121,2026-06-29 19:13:22.137000+00:00,2026-06-29 19:13:22.137000+00:00,1,0.0,0.2944800553890544,False,False,22,People & Blogs
山田優,adb7bf6e-4bfe-4a0b-91a9-da4030ebdc3c,8,kV19hS3kEJQ,ただのポテトチップスを描くだけなのに数式が必要な理由,4.91364599636672,10.1135,2026-06-29 19:13:29.270000+00:00,2026-06-29 19:13:29.270000+00:00,1,0.0,0.48585019986816824,False,False,22,People & Blogs
山田優,adb7bf6e-4bfe-4a0b-91a9-da4030ebdc3c,9,TVk75mqnK5A,インナーカラー　ここだけ染めてみよう,2.06882419090661,10.121,2026-06-29 19:13:32.827000+00:00,2026-06-29 19:13:32.827000+00:00,1,0.0,0.20440906935150774,False,False,22,People & Blogs
